id,title,text,label
1,"NASA James Webb Space Telescope Discovers Oldest Galaxy in Known Universe","Astronomers utilizing data from NASA's James Webb Space Telescope have identified JADES-GS-z14-0, a galaxy that existed just 290 million years after the Big Bang. The spectroscopic confirmation reveals unusually bright and massive stellar formations in the early cosmos, challenging prior cosmological timeline assumptions and opening new avenues for astrophysics research.",REAL
2,"SHOCKING: Secret Underground Alien Base Found Beneath Mount Rushmore by Miners","Leaked classified government documents reveal that gold miners accidentally breached a titanium vault beneath Mount Rushmore, exposing extraterrestrial technology and reptilian humanoid cryogenic chambers. Anonymous military sources claim the monument was constructed to mask the energy signatures of alien spacecraft.",FAKE
3,"Federal Reserve Holds Benchmark Interest Rates Steady Following Inflation Report","The Federal Reserve announced on Wednesday that it will maintain the benchmark federal funds rate in the target range of 5.25% to 5.50%. Fed Chair Jerome Powell stated that while inflation has eased over the past year, the central bank requires further confidence that price growth is moving sustainably toward the 2 percent target before initiating rate cuts.",REAL
4,"MIRACLE DOCTOR Reveals Drinking Boiled Banana Peels Cures All Diabetes Overnight","A rogue physician who was banned by Big Pharma has exposed an ancient Himalayan secret: drinking warm boiled banana peel tea completely dissolves high blood sugar within 8 hours and reverses insulin resistance permanently. Mainstream hospitals are suppressing this one weird kitchen trick to protect their billion-dollar drug profits.",FAKE
5,"World Health Organization Issues Global Update on Avian Influenza Surveillance","The World Health Organization (WHO) published its bi-weekly surveillance report on H5N1 avian influenza cases detected in dairy herds and poultry farms. Public health officials reiterated that the current public risk remains low, while emphasizing the importance of pasteurization protocols, personal protective equipment for farmworkers, and continuous genomic sequencing.",REAL
6,"Billionaire Tech Mogul Arrested After Neural Microchip Hack Exposes Global Telepathy Network","In a stunning midnight raid, federal marshals detained a prominent Silicon Valley CEO after whistleblowers proved that all smartphones manufactured since 2021 emit ultrasonic frequencies that transmit user thoughts directly to private satellite arrays. The mainstream media has refused to broadcast the trial proceedings.",FAKE
7,"European Union Approves Landmark Artificial Intelligence Regulatory Act","The European Parliament voted overwhelmingly to enact the Artificial Intelligence Act, establishing the world's first comprehensive horizontal legal framework for AI governance. The legislation classifies artificial intelligence applications according to risk levels, banning biometric identification in public spaces and enforcing stringent transparency rules for general-purpose foundation models.",REAL
8,"SCIENTISTS PROVE Earth Is Actually Flat and NASA Moon Landings Were Filmed in Burbank Studio","A groundbreaking peer-reviewed study conducted by independent truth researchers confirms that curvature calculations are mathematically impossible and Antarctic ice walls prevent ocean waters from spilling over. Declassified Hollywood archives show Stanley Kubrick directed every lunar transmission on soundstage 4.",FAKE
9,"Global Renewable Energy Capacity Surpasses Coal Output in Major Industrial Nations","A report from the International Energy Agency (IEA) shows that combined solar photovoltaic and wind energy generation exceeded coal-fired electricity production across the European Union and parts of North America during the second quarter of 2026, driven by record grid installations and lower battery storage costs.",REAL
10,"5G Cell Towers Linked to Mass DNA Mutation and Zombie Frequency Mind Control","Investigative independent journalists have uncovered classified military frequency tests demonstrating that 5G radiation alters human red blood cell geometry, making citizens susceptible to microwave-based neural command triggers during nocturnal hours. Officials urge immediate tinfoil shielding.",FAKE
